Game,Fc_new,Fc,Fc_delta,Fg,Q_new,Q,Q_delta,Uc_new,Uc,Uc_delta,Ug_new,Ug,Ug_delta,Cc_new,Cc,Cc_delta,Cg_new,Cg,Cg_delta
Godzilla,1900,1400,500,543,60,60.033278,-0.033278,41.668885,51.450915,-9.78203,52.420965,52.805324,-0.384359,39.58544075,36.0156405,3.56980025,52.420965,52.805324,-0.384359
Godzilla,2000,1400,600,177,42.616667,42.562396,0.054271,28.656667,36.895175,-8.238508,99.973333,99.891847,0.081486,28.656667,25.8266225,2.8300445,32.58799252,32.56143079,0.026561735
Godzilla,2000,1400,600,266,60,60.05,-0.05,40.11,51.511667,-11.401667,94.99,95.12,-0.13,40.11,36.0581669,4.0518331,46.53285451,46.59653775,-0.063683241
Godzilla,2000,1400,600,350,60.05,60.049917,0.000083,40.256667,51.519135,-11.262468,74.828333,75.727121,-0.898788,40.256667,36.0633945,4.1932725,48.23189052,48.8112198,-0.579329282
Godzilla,2000,1400,600,420,60.05,60.049917,0.000083,40.383333,51.404326,-11.020993,64.831667,65.086522,-0.254855,40.383333,35.9830282,4.4003048,50.14604077,50.34316619,-0.197125414
Godzilla,2000,1400,600,480,60.049917,60.033333,0.016584,40.259567,51.366667,-11.1071,58.004992,58.335,-0.330008,40.259567,35.9566669,4.3029001,51.27513105,51.56685083,-0.291719779
Godzilla,2000,1400,600,543,60.016667,60.033278,-0.016611,40.44,51.450915,-11.010915,52.241667,52.805324,-0.563657,40.44,36.0156405,4.4243595,52.241667,52.805324,-0.563657
Godzilla,1600,1500,100,177,42.816667,42.55,0.266667,33.578333,34.775,-1.196667,99.918333,99.861667,0.056666,26.8626664,26.08125,0.7814164,32.57006435,32.55159311,0.018471238
Godzilla,1600,1500,100,266,60,60.016639,-0.016639,46.648333,48.668885,-2.020552,95.108333,95.317804,-0.209471,37.3186664,36.50166375,0.81700265,46.59082243,46.69343621,-0.102613786
Godzilla,1600,1500,100,350,60.033278,60.033333,-0.000055,46.643927,48.665,-2.021073,75.580699,75.546667,0.034032,37.3151416,36.49875,0.8163916,48.71684098,48.69490506,0.021935912
Godzilla,1600,1500,100,420,60.033333,60.016667,0.016666,46.726667,48.663333,-1.936666,65.07,64.925,0.145,37.3813336,36.49749975,0.88383385,50.33038674,50.21823204,0.112154696
Godzilla,1600,1500,100,480,60.016667,60.049917,-0.03325,46.728333,48.72213,-1.993797,58.273333,58.429285,-0.155952,37.3826664,36.5415975,0.8410689,51.51233856,51.65019669,-0.137858122
Godzilla,1600,1500,100,543,60.049917,60.033278,0.016639,46.520799,48.748752,-2.227953,52.687188,52.787022,-0.099834,37.2166392,36.561564,0.6550752,52.687188,52.787022,-0.099834
