Game,Fg_new,Fg,Fg_delta,Fc,Q_new,Q,Q_delta,Ug_new,Ug,Ug_delta,Uc_new,Uc,Uc_delta,Cg_new,Cg,Cg_delta,Cc_new,Cc,Cc_delta
Call of Duty,350,266,84,1300,42.063228,42.15,-0.086772,22.312812,28.251667,-5.938855,94.161398,94.17,-0.008602,14.38210718,13.83967481,0.542432372,61.2049087,61.2105,-0.0055913
Call of Duty,350,266,84,1400,44.159734,44.266667,-0.106933,23.44426,29.725,-6.28074,93.870216,93.925,-0.054784,15.11140147,14.56141805,0.549983425,65.7091512,65.7475,-0.0383488
Call of Duty,350,266,84,1500,46.633333,46.833333,-0.2,24.823333,31.431667,-6.608334,93.658333,93.715,-0.056667,16.00030672,15.39746487,0.602841856,70.24374975,70.28625,-0.04250025
Call of Duty,350,266,84,1600,49.283333,49.266667,0.016666,26.188333,33.135,-6.946667,93.61,93.586667,0.023333,16.88014098,16.23187845,0.648262523,74.888,74.8693336,0.0186664
Call of Duty,350,266,84,1700,51.516667,51.497504,0.019163,27.315,34.407654,-7.092654,93.538333,93.434276,0.104057,17.60635359,16.85531485,0.75103874,79.50758305,79.4191346,0.08844845
Call of Duty,350,266,84,1800,53.133333,53.116667,0.016666,28.05,35.428333,-7.378333,93.486667,93.335,0.151667,18.0801105,17.35531598,0.724794516,84.1380003,84.0015,0.1365003
Call of Duty,350,266,84,1900,55.166667,55.191348,-0.024681,29.176667,36.717138,-7.540471,93.14,93.194676,-0.054676,18.80632311,17.98666429,0.819658825,88.483,88.5349422,-0.0519422
Call of Duty,350,266,84,2000,57.004992,57.088186,-0.083194,30.133111,38.123128,-7.990017,92.800333,92.886855,-0.086522,19.42281556,18.67541814,0.747397425,92.800333,92.886855,-0.086522
Call of Duty,420,266,154,1200,39.433333,39.53411,-0.100777,18.056667,26.447587,-8.39092,94.521667,94.437604,0.084063,13.96648276,12.95590818,1.010574582,56.7130002,56.6625624,0.0504378
Call of Duty,420,266,154,1300,42.046589,42.15,-0.103411,19.291181,28.251667,-8.960486,94.194676,94.17,0.024676,14.92135547,13.83967481,1.081680659,61.2265394,61.2105,0.0160394
Call of Duty,420,266,154,1400,44.143095,44.266667,-0.123572,20.327787,29.725,-9.397213,93.792013,93.925,-0.132987,15.72315017,14.56141805,1.161732118,65.6544091,65.7475,-0.0930909
Call of Duty,420,266,154,1500,46.505824,46.833333,-0.327509,21.422629,31.431667,-10.009038,93.595674,93.715,-0.119326,16.56998928,15.39746487,1.172524416,70.1967555,70.28625,-0.0894945
Call of Duty,420,266,154,1600,49.25,49.266667,-0.016667,22.685,33.135,-10.45,93.61,93.586667,0.023333,17.54640884,16.23187845,1.314530387,74.888,74.8693336,0.0186664
Call of Duty,420,266,154,1700,51.25,51.497504,-0.247504,23.523333,34.407654,-10.884321,93.443333,93.434276,0.009057,18.1948432,16.85531485,1.339528354,79.42683305,79.4191346,0.00769845
Call of Duty,420,266,154,1800,53.061564,53.116667,-0.055103,24.359401,35.428333,-11.068932,93.424293,93.335,0.089293,18.84152564,17.35531598,1.486209654,84.0818637,84.0015,0.0803637
Call of Duty,420,266,154,1900,55.074875,55.191348,-0.116473,25.141431,36.717138,-11.575707,93.091514,93.194676,-0.103162,19.44641072,17.98666429,1.459746431,88.4369383,88.5349422,-0.0980039
Call of Duty,420,266,154,2000,57.016667,57.088186,-0.071519,26.151667,38.123128,-11.971461,92.791667,92.886855,-0.095188,20.22780873,18.67541814,1.552390593,92.791667,92.886855,-0.095188
Call of Duty,480,266,214,1200,39.4,39.53411,-0.13411,16.345,26.447587,-10.102587,94.56,94.437604,0.122396,14.44861878,12.95590818,1.492710604,56.736,56.6625624,0.0734376
Call of Duty,480,266,214,1300,41.946755,42.15,-0.203245,17.396007,28.251667,-10.85566,94.199667,94.17,0.029667,15.37768575,13.83967481,1.538010936,61.22978355,61.2105,0.01928355
Call of Duty,480,266,214,1400,44.126456,44.266667,-0.140211,18.415973,29.725,-11.309027,93.881864,93.925,-0.043136,16.27931315,14.56141805,1.717895101,65.7173048,65.7475,-0.0301952
Call of Duty,480,266,214,1500,46.416667,46.833333,-0.416666,19.351667,31.431667,-12.08,93.511667,93.715,-0.203333,17.10644597,15.39746487,1.708981101,70.13375025,70.28625,-0.15249975
Call of Duty,480,266,214,1600,49.184692,49.266667,-0.081975,20.447587,33.135,-12.687413,93.635607,93.586667,0.04894,18.07521503,16.23187845,1.843336575,74.9084856,74.8693336,0.039152
Call of Duty,480,266,214,1700,51.216667,51.497504,-0.280837,21.266667,34.407654,-13.140987,93.511667,93.434276,0.077391,18.79926365,16.85531485,1.943948796,79.48491695,79.4191346,0.06578235
Call of Duty,480,266,214,1800,53.066667,53.116667,-0.05,21.968333,35.428333,-13.46,93.385,93.335,0.05,19.41952088,17.35531598,2.064204902,84.0465,84.0015,0.045
Call of Duty,480,266,214,1900,55.016667,55.191348,-0.174681,22.751667,36.717138,-13.965471,93.078333,93.194676,-0.116343,20.11197083,17.98666429,2.125306541,88.42441635,88.5349422,-0.11052585
Call of Duty,480,266,214,2000,56.888519,57.088186,-0.199667,23.535774,38.123128,-14.587354,92.846922,92.886855,-0.039933,20.80510409,18.67541814,2.129685952,92.846922,92.886855,-0.039933
Call of Duty,543,266,277,1200,39.400998,39.53411,-0.133112,15.024958,26.447587,-11.422629,94.464226,94.437604,0.026622,15.024958,12.95590818,2.06904982,56.6785356,56.6625624,0.0159732
Call of Duty,543,266,277,1300,41.95,42.15,-0.2,16.038333,28.251667,-12.213334,94.205,94.17,0.035,16.038333,13.83967481,2.19865819,61.23325,61.2105,0.02275
Call of Duty,543,266,277,1400,44.193012,44.266667,-0.073655,16.856905,29.725,-12.868095,93.851913,93.925,-0.073087,16.856905,14.56141805,2.295486952,65.6963391,65.7475,-0.0511609
Call of Duty,543,266,277,1500,46.55,46.833333,-0.283333,17.831667,31.431667,-13.6,93.655,93.715,-0.06,17.831667,15.39746487,2.434202134,70.24125,70.28625,-0.045
Call of Duty,543,266,277,1600,49.21797,49.266667,-0.048697,18.856905,33.135,-14.278095,93.665557,93.586667,0.07889,18.856905,16.23187845,2.625026547,74.9324456,74.8693336,0.063112
Call of Duty,543,266,277,1700,51.198003,51.497504,-0.299501,19.540765,34.407654,-14.866889,93.53411,93.434276,0.099834,19.540765,16.85531485,2.685450149,79.5039935,79.4191346,0.0848589
Call of Duty,543,266,277,1800,53,53.116667,-0.116667,20.133333,35.428333,-15.295,93.435,93.335,0.1,20.133333,17.35531598,2.778017018,84.0915,84.0015,0.09
Call of Duty,543,266,277,1900,54.958403,55.191348,-0.232945,20.833611,36.717138,-15.883527,93.123128,93.194676,-0.071548,20.833611,17.98666429,2.846946713,88.4669716,88.5349422,-0.0679706
Call of Duty,543,266,277,2000,56.855241,57.088186,-0.232945,21.589018,38.123128,-16.53411,92.85025,92.886855,-0.036605,21.589018,18.67541814,2.913599864,92.85025,92.886855,-0.036605
Call of Duty,420,350,70,1200,39.433333,39.550749,-0.117416,18.056667,20.985025,-2.928358,94.521667,94.567388,-0.045721,13.96648276,13.52625921,0.440223554,56.7130002,56.7404328,-0.0274326
Call of Duty,420,350,70,1300,42.046589,42.063228,-0.016639,19.291181,22.312812,-3.021631,94.194676,94.161398,0.033278,14.92135547,14.38210718,0.539248287,61.2265394,61.2049087,0.0216307
Call of Duty,420,350,70,1400,44.143095,44.159734,-0.016639,20.327787,23.44426,-3.116473,93.792013,93.870216,-0.078203,15.72315017,15.11140147,0.611748692,65.6544091,65.7091512,-0.0547421
Call of Duty,420,350,70,1500,46.505824,46.633333,-0.127509,21.422629,24.823333,-3.400704,93.595674,93.658333,-0.062659,16.56998928,16.00030672,0.56968256,70.1967555,70.24374975,-0.04699425
Call of Duty,420,350,70,1600,49.25,49.283333,-0.033333,22.685,26.188333,-3.503333,93.61,93.61,0,17.54640884,16.88014098,0.666267864,74.888,74.888,0
Call of Duty,420,350,70,1700,51.25,51.516667,-0.266667,23.523333,27.315,-3.791667,93.443333,93.538333,-0.095,18.1948432,17.60635359,0.588489613,79.42683305,79.50758305,-0.08075
Call of Duty,420,350,70,1800,53.061564,53.133333,-0.071769,24.359401,28.05,-3.690599,93.424293,93.486667,-0.062374,18.84152564,18.0801105,0.761415138,84.0818637,84.1380003,-0.0561366
Call of Duty,420,350,70,1900,55.074875,55.166667,-0.091792,25.141431,29.176667,-4.035236,93.091514,93.14,-0.048486,19.44641072,18.80632311,0.640087606,88.4369383,88.483,-0.0460617
Call of Duty,420,350,70,2000,57.016667,57.004992,0.011675,26.151667,30.133111,-3.981444,92.791667,92.800333,-0.008666,20.22780873,19.42281556,0.804993168,92.791667,92.800333,-0.008666
Call of Duty,480,350,130,1200,39.4,39.550749,-0.150749,16.345,20.985025,-4.640025,94.56,94.567388,-0.007388,14.44861878,13.52625921,0.922359576,56.736,56.7404328,-0.0044328
Call of Duty,480,350,130,1300,41.946755,42.063228,-0.116473,17.396007,22.312812,-4.916805,94.199667,94.161398,0.038269,15.37768575,14.38210718,0.995578564,61.22978355,61.2049087,0.02487485
Call of Duty,480,350,130,1400,44.126456,44.159734,-0.033278,18.415973,23.44426,-5.028287,93.881864,93.870216,0.011648,16.27931315,15.11140147,1.167911676,65.7173048,65.7091512,0.0081536
Call of Duty,480,350,130,1500,46.416667,46.633333,-0.216666,19.351667,24.823333,-5.471666,93.511667,93.658333,-0.146666,17.10644597,16.00030672,1.106139245,70.13375025,70.24374975,-0.1099995
Call of Duty,480,350,130,1600,49.184692,49.283333,-0.098641,20.447587,26.188333,-5.740746,93.635607,93.61,0.025607,18.07521503,16.88014098,1.195074052,74.9084856,74.888,0.0204856
Call of Duty,480,350,130,1700,51.216667,51.516667,-0.3,21.266667,27.315,-6.048333,93.511667,93.538333,-0.026666,18.79926365,17.60635359,1.192910055,79.48491695,79.50758305,-0.0226661
Call of Duty,480,350,130,1800,53.066667,53.133333,-0.066666,21.968333,28.05,-6.081667,93.385,93.486667,-0.101667,19.41952088,18.0801105,1.339410387,84.0465,84.1380003,-0.0915003
Call of Duty,480,350,130,1900,55.016667,55.166667,-0.15,22.751667,29.176667,-6.425,93.078333,93.14,-0.061667,20.11197083,18.80632311,1.305647716,88.42441635,88.483,-0.05858365
Call of Duty,480,350,130,2000,56.888519,57.004992,-0.116473,23.535774,30.133111,-6.597337,92.846922,92.800333,0.046589,20.80510409,19.42281556,1.382288527,92.846922,92.800333,0.046589
Call of Duty,543,350,193,1200,39.400998,39.550749,-0.149751,15.024958,20.985025,-5.960067,94.464226,94.567388,-0.103162,15.024958,13.52625921,1.498698792,56.6785356,56.7404328,-0.0618972
Call of Duty,543,350,193,1300,41.95,42.063228,-0.113228,16.038333,22.312812,-6.274479,94.205,94.161398,0.043602,16.038333,14.38210718,1.656225818,61.23325,61.2049087,0.0283413
Call of Duty,543,350,193,1400,44.193012,44.159734,0.033278,16.856905,23.44426,-6.587355,93.851913,93.870216,-0.018303,16.856905,15.11140147,1.745503527,65.6963391,65.7091512,-0.0128121
Call of Duty,543,350,193,1500,46.55,46.633333,-0.083333,17.831667,24.823333,-6.991666,93.655,93.658333,-0.003333,17.831667,16.00030672,1.831360278,70.24125,70.24374975,-0.00249975
Call of Duty,543,350,193,1600,49.21797,49.283333,-0.065363,18.856905,26.188333,-7.331428,93.665557,93.61,0.055557,18.856905,16.88014098,1.976764024,74.9324456,74.888,0.0444456
Call of Duty,543,350,193,1700,51.198003,51.516667,-0.318664,19.540765,27.315,-7.774235,93.53411,93.538333,-0.004223,19.540765,17.60635359,1.934411409,79.5039935,79.50758305,-0.00358955
Call of Duty,543,350,193,1800,53,53.133333,-0.133333,20.133333,28.05,-7.916667,93.435,93.486667,-0.051667,20.133333,18.0801105,2.053222503,84.0915,84.1380003,-0.0465003
Call of Duty,543,350,193,1900,54.958403,55.166667,-0.208264,20.833611,29.176667,-8.343056,93.123128,93.14,-0.016872,20.833611,18.80632311,2.027287888,88.4669716,88.483,-0.0160284
Call of Duty,543,350,193,2000,56.855241,57.004992,-0.149751,21.589018,30.133111,-8.544093,92.85025,92.800333,0.049917,21.589018,19.42281556,2.166202438,92.85025,92.800333,0.049917
Call of Duty,480,420,60,1200,39.4,39.433333,-0.033333,16.345,18.056667,-1.711667,94.56,94.521667,0.038333,14.44861878,13.96648276,0.482136022,56.736,56.7130002,0.0229998
Call of Duty,480,420,60,1300,41.946755,42.046589,-0.099834,17.396007,19.291181,-1.895174,94.199667,94.194676,0.004991,15.37768575,14.92135547,0.456330276,61.22978355,61.2265394,0.00324415
Call of Duty,480,420,60,1400,44.126456,44.143095,-0.016639,18.415973,20.327787,-1.911814,93.881864,93.792013,0.089851,16.27931315,15.72315017,0.556162983,65.7173048,65.6544091,0.0628957
Call of Duty,480,420,60,1500,46.416667,46.505824,-0.089157,19.351667,21.422629,-2.070962,93.511667,93.595674,-0.084007,17.10644597,16.56998928,0.536456685,70.13375025,70.1967555,-0.06300525
Call of Duty,480,420,60,1600,49.184692,49.25,-0.065308,20.447587,22.685,-2.237413,93.635607,93.61,0.025607,18.07521503,17.54640884,0.528806188,74.9084856,74.888,0.0204856
Call of Duty,480,420,60,1700,51.216667,51.25,-0.033333,21.266667,23.523333,-2.256666,93.511667,93.443333,0.068334,18.79926365,18.1948432,0.604420442,79.48491695,79.42683305,0.0580839
Call of Duty,480,420,60,1800,53.066667,53.061564,0.005103,21.968333,24.359401,-2.391068,93.385,93.424293,-0.039293,19.41952088,18.84152564,0.577995249,84.0465,84.0818637,-0.0353637
Call of Duty,480,420,60,1900,55.016667,55.074875,-0.058208,22.751667,25.141431,-2.389764,93.078333,93.091514,-0.013181,20.11197083,19.44641072,0.66556011,88.42441635,88.4369383,-0.01252195
Call of Duty,480,420,60,2000,56.888519,57.016667,-0.128148,23.535774,26.151667,-2.615893,92.846922,92.791667,0.055255,20.80510409,20.22780873,0.577295359,92.846922,92.791667,0.055255
