Game,Fg_new,Fg,Fg_delta,Fc,Q_new,Q,Q_delta,Ug_new,Ug,Ug_delta,Uc_new,Uc,Uc_delta,Cg_new,Cg,Cg_delta,Cc_new,Cc,Cc_delta
Mono 110,543,177,366,1700,60,59.99,0.01,33,84,-51,48,50,-2,33,27.38121547,5.61878453,40.8,42.5,-1.7
Mono 110,543,177,366,1800,60,59.99,0.01,33,84,-51,45,49,-4,33,27.38121547,5.61878453,40.5,44.1,-3.6
Mono 110,543,177,366,1900,59.99,60,-0.01,33,83,-50,44,45,-1,33,27.05524862,5.944751381,41.8,42.75,-0.95
Mono 110,543,177,366,2000,59.99,60,-0.01,33,84,-51,47,45,2,33,27.38121547,5.61878453,47,45,2
Mono 110,350,266,84,1200,59.99,59.99,0,47,59,-12,53,59,-6,30.2946593,28.90239411,1.392265193,31.8,35.4,-3.6
Mono 110,350,266,84,1300,60,59.99,0.01,47,59,-12,52,57,-5,30.2946593,28.90239411,1.392265193,33.8,37.05,-3.25
Mono 110,350,266,84,1400,60.1,60.1,0,47,59,-12,51,57,-6,30.2946593,28.90239411,1.392265193,35.7,39.9,-4.2
Mono 110,350,266,84,1500,60.1,59.99,0.11,47,59,-12,50,56,-6,30.2946593,28.90239411,1.392265193,37.5,42,-4.5
Mono 110,350,266,84,1600,59.99,59.99,0,47,59,-12,52,55,-3,30.2946593,28.90239411,1.392265193,41.6,44,-2.4
Mono 110,350,266,84,1700,60,60,0,47,59,-12,50,50,0,30.2946593,28.90239411,1.392265193,42.5,42.5,0
Mono 110,350,266,84,1800,59.98,59.99,-0.01,47,59,-12,51,49,2,30.2946593,28.90239411,1.392265193,45.9,44.1,1.8
Mono 110,350,266,84,1900,60,60.1,-0.1,47,58,-11,47,46,1,30.2946593,28.41252302,1.88213628,44.65,43.7,0.95
Mono 110,350,266,84,2000,60,60,0,46,58,-12,45,45,0,29.65009208,28.41252302,1.237569061,45,45,0
Mono 110,420,266,154,1200,59.99,59.99,0,40,59,-19,51,59,-8,30.93922652,28.90239411,2.036832413,30.6,35.4,-4.8
Mono 110,420,266,154,1300,60,59.99,0.01,40,59,-19,48,57,-9,30.93922652,28.90239411,2.036832413,31.2,37.05,-5.85
Mono 110,420,266,154,1400,59.99,60.1,-0.11,40,59,-19,51,57,-6,30.93922652,28.90239411,2.036832413,35.7,39.9,-4.2
Mono 110,420,266,154,1500,59.99,59.99,0,40,59,-19,48,56,-8,30.93922652,28.90239411,2.036832413,36,42,-6
Mono 110,420,266,154,1600,60,59.99,0.01,40,59,-19,46,55,-9,30.93922652,28.90239411,2.036832413,36.8,44,-7.2
Mono 110,420,266,154,1700,59.99,60,-0.01,40,59,-19,45,50,-5,30.93922652,28.90239411,2.036832413,38.25,42.5,-4.25
Mono 110,420,266,154,1800,60,59.99,0.01,40,59,-19,50,49,1,30.93922652,28.90239411,2.036832413,45,44.1,0.9
